evidence_id,domain,analysis,population,N,events,estimand,effect_type,estimate,lower95,upper95,p_value,secondary_statistic,secondary_value,source_status,source_file,source_row_or_key,script_origin,new_or_original,phase_origin,candidate_manuscript_location,interpretive_role,notes
MIMIC_SOURCE_CENTRAL_LAB_ONLY_30D,MIMIC measurement-source context,Final source-defined GV: central-laboratory-only,central-laboratory-only series,826,129,30-day mortality after day-1 landmark,HR per 10 mg/dL GV,0.978541851084597,0.93331334191476,1.02596214081714,0.368967843358077,gv_sd_within,3.2075731302898298e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/measurement_source_results.csv,model_id=SRC_centrallab_30d,original_public_code/analyses/05_source_sensitivity/02_fit_source_models.R,original_final_lineage,Phase 1.6,Results; Figure 2,Source-specific context,Source-specific cohort; not a same-patient paired comparison.
MIMIC_SOURCE_COMMON_30D,MIMIC measurement-source context,Final source-defined GV: common-source,common-source (POCT + central lab) series,8355,202,30-day mortality after day-1 landmark,HR per 10 mg/dL GV,0.977529963550784,0.922998607659253,1.03528306728754,0.437754631449901,gv_sd_within,1.54646091868021e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/measurement_source_results.csv,model_id=SRC_common_30d,original_public_code/analyses/05_source_sensitivity/02_fit_source_models.R,original_final_lineage,Phase 1.6,Results; Figure 2,Source-specific context,Common-source cohort; not a same-patient paired comparison.
MIMIC_SOURCE_POCT_ONLY_30D,MIMIC measurement-source context,Final source-defined GV: POCT-only,POCT-only series,7602,107,30-day mortality after day-1 landmark,HR per 10 mg/dL GV,0.82683816001862,0.740075506230323,0.923772422013129,0.000774320735174024,gv_sd_within,1.2970737062759399e+01,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/measurement_source_results.csv,model_id=SRC_poct_30d,original_public_code/analyses/05_source_sensitivity/02_fit_source_models.R,original_final_lineage,Phase 1.6,Results; Figure 2,Source-specific context,Source-specific cohort; not a same-patient paired comparison.
ORIG_MIMIC_365D_PH_DIAGNOSTIC,MIMIC time-context audit,365-day Model B proportional-hazards diagnostic,complete-case diagnostic frame,9751,633,diagnostic evidence for 365-day average HR,PH diagnostic p-value,0.00585241079217937,NA,NA,NA,global_p,1.3535607793886501e-15,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/07_ph_diagnostics.csv,model_id=ModelB_365d; term=gv10,original_public_code/analyses/03_primary_mimic/03_run_primary_models_mice.R,original_final_lineage,Phase 1.6,Supplement; MIMIC 365-day audit,Boundary condition,The GV and global PH diagnostics support demoting the 365-day average HR from the revised main story.
ORIG_MIMIC_ABSOLUTE_RISK_30D,MIMIC outcome presentation,Model-standardized GV quartile risk contrast,complete-case standardization frame,9751,240,30-day model-standardized Q75 versus Q25 risk difference,risk difference,-0.000441527879253317,-0.00281825358390254,0.00145537965741636,NA,risk_q25;risk_q75,2.4334649748646998e-02;2.3893121869393699e-02,LOCKED_RESULT_VERIFIED,locked_analysis_record/results/12_absolute_risk_results.csv,model_id=ABSRISK_30d,original_public_code/analyses/03_primary_mimic/03_run_primary_models_mice.R,original_final_lineage,Phase 1.6,Supplement; original Figure 3 evidence,Valid secondary absolute-risk presentation,Retain as a supplementary descriptive contrast; it is not the revised manuscript's central estimand.
P2A_AGREEMENT_PRIMARY_GV_LAB_MEAN,same-patient source dependence,same-patient source agreement: GV SD (primary N=452),452 paired patients in final MIMIC target,452,NA,paired source-defined descriptive comparison,laboratory mean,34.6316899420812,NA,NA,NA,POCT_mean,2.86203320912451e+01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Results; Figure 2,Primary source-agreement evidence,Means are source-defined routine-care summaries; neither source is a reference standard.
P2A_AGREEMENT_PRIMARY_GV_MEAN_DIFFERENCE,same-patient source dependence,same-patient source agreement: GV SD (primary N=452),452 paired patients in final MIMIC target,452,NA,POCT minus laboratory source-defined difference,mean paired difference,-6.01135785083616,-69.9302297347618,57.9075140330895,NA,sd_paired_difference,3.2611669328533502e+01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Results; Figure 2,Primary source-agreement evidence,"lower95/upper95 are 95% Bland-Altman limits of agreement, not confidence limits for the mean."
P2A_AGREEMENT_PRIMARY_GV_PAIR_MEAN_CORRELATION,same-patient source dependence,same-patient source agreement: GV SD (primary N=452),452 paired patients in final MIMIC target,452,NA,paired source-defined difference versus pair mean,Pearson correlation,-0.527787324448683,NA,NA,NA,Spearman_rho,-3.38029486792227e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Results; Figure 2,Primary source-agreement evidence,Scale-dependent disagreement diagnostic; not a causal model.
P2A_AGREEMENT_PRIMARY_GV_PEARSON,same-patient source dependence,same-patient source agreement: GV SD (primary N=452),452 paired patients in final MIMIC target,452,NA,paired source-defined descriptive comparison,Pearson correlation,0.4893123615556,NA,NA,NA,Spearman_rho,3.2689148070890101e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Results; Figure 2,Primary source-agreement evidence,Correlation describes agreement/association only; it does not establish interchangeability.
P2A_AGREEMENT_PRIMARY_GV_POCT_MEAN,same-patient source dependence,same-patient source agreement: GV SD (primary N=452),452 paired patients in final MIMIC target,452,NA,paired source-defined descriptive comparison,POCT mean,28.6203320912451,NA,NA,NA,laboratory_mean,3.4631689942081202e+01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Results; Figure 2,Primary source-agreement evidence,Means are source-defined routine-care summaries; neither source is a reference standard.
P2A_AGREEMENT_PRIMARY_GV_SPEARMAN,same-patient source dependence,same-patient source agreement: GV SD (primary N=452),452 paired patients in final MIMIC target,452,NA,NA,Spearman correlation,0.326891480708901,NA,NA,NA,Pearson_r,4.8931236155559998e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Results; Figure 2,Primary source-agreement evidence,Rank correlation describes agreement/association only; it does not establish interchangeability.
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_LAB_MEAN,same-patient source dependence,same-patient source agreement: mean glucose (primary N=452),452 paired patients in final MIMIC target,452,NA,paired source-defined descriptive comparison,laboratory mean,155.150737463127,NA,NA,NA,POCT_mean,1.5109342820440901e+02,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement context,Mean-glucose source context,Means are source-defined routine-care summaries; neither source is a reference standard.
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_MEAN_DIFFERENCE,same-patient source dependence,same-patient source agreement: mean glucose (primary N=452),452 paired patients in final MIMIC target,452,NA,POCT minus laboratory source-defined difference,mean paired difference,-4.05730925871803,-76.7447531865752,68.6301346691392,NA,sd_paired_difference,3.70854305754373e+01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement context,Mean-glucose source context,"lower95/upper95 are 95% Bland-Altman limits of agreement, not confidence limits for the mean."
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_PAIR_MEAN_CORRELATION,same-patient source dependence,same-patient source agreement: mean glucose (primary N=452),452 paired patients in final MIMIC target,452,NA,paired source-defined difference versus pair mean,Pearson correlation,-0.294842720579992,NA,NA,NA,Spearman_rho,-1.8478779462587e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement context,Mean-glucose source context,Scale-dependent disagreement diagnostic; not a causal model.
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_PEARSON,same-patient source dependence,same-patient source agreement: mean glucose (primary N=452),452 paired patients in final MIMIC target,452,NA,paired source-defined descriptive comparison,Pearson correlation,0.805144425245895,NA,NA,NA,Spearman_rho,6.8461067920837404e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement context,Mean-glucose source context,Correlation describes agreement/association only; it does not establish interchangeability.
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_POCT_MEAN,same-patient source dependence,same-patient source agreement: mean glucose (primary N=452),452 paired patients in final MIMIC target,452,NA,paired source-defined descriptive comparison,POCT mean,151.093428204409,NA,NA,NA,laboratory_mean,1.55150737463127e+02,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement context,Mean-glucose source context,Means are source-defined routine-care summaries; neither source is a reference standard.
P2A_AGREEMENT_PRIMARY_MEAN_GLUCOSE_SPEARMAN,same-patient source dependence,same-patient source agreement: mean glucose (primary N=452),452 paired patients in final MIMIC target,452,NA,NA,Spearman correlation,0.684610679208374,NA,NA,NA,Pearson_r,8.0514442524589502e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=PRIMARY_FINAL_TARGET; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement context,Mean-glucose source context,Rank correlation describes agreement/association only; it does not establish interchangeability.
P2A_AGREEMENT_SENSITIVITY_GV_LAB_MEAN,same-patient source dependence,same-patient source agreement: GV SD (sensitivity N=453),453 final source-paired candidates,453,NA,paired source-defined descriptive comparison,laboratory mean,34.602842632392,NA,NA,NA,POCT_mean,2.86642924003053e+01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,All source-paired candidate sensitivity,Means are source-defined routine-care summaries; neither source is a reference standard.
P2A_AGREEMENT_SENSITIVITY_GV_MEAN_DIFFERENCE,same-patient source dependence,same-patient source agreement: GV SD (sensitivity N=453),453 final source-paired candidates,453,NA,POCT minus laboratory source-defined difference,mean paired difference,-5.93855023208666,-69.8588767747541,57.9817763105808,NA,sd_paired_difference,3.2612411501360903e+01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,All source-paired candidate sensitivity,"lower95/upper95 are 95% Bland-Altman limits of agreement, not confidence limits for the mean."
P2A_AGREEMENT_SENSITIVITY_GV_PAIR_MEAN_CORRELATION,same-patient source dependence,same-patient source agreement: GV SD (sensitivity N=453),453 final source-paired candidates,453,NA,paired source-defined difference versus pair mean,Pearson correlation,-0.526884784791464,NA,NA,NA,Spearman_rho,-3.3436189203251199e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,All source-paired candidate sensitivity,Scale-dependent disagreement diagnostic; not a causal model.
P2A_AGREEMENT_SENSITIVITY_GV_PEARSON,same-patient source dependence,same-patient source agreement: GV SD (sensitivity N=453),453 final source-paired candidates,453,NA,paired source-defined descriptive comparison,Pearson correlation,0.488105663399934,NA,NA,NA,Spearman_rho,3.2630625407368002e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,All source-paired candidate sensitivity,Correlation describes agreement/association only; it does not establish interchangeability.
P2A_AGREEMENT_SENSITIVITY_GV_POCT_MEAN,same-patient source dependence,same-patient source agreement: GV SD (sensitivity N=453),453 final source-paired candidates,453,NA,paired source-defined descriptive comparison,POCT mean,28.6642924003053,NA,NA,NA,laboratory_mean,3.4602842632391997e+01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,All source-paired candidate sensitivity,Means are source-defined routine-care summaries; neither source is a reference standard.
P2A_AGREEMENT_SENSITIVITY_GV_SPEARMAN,same-patient source dependence,same-patient source agreement: GV SD (sensitivity N=453),453 final source-paired candidates,453,NA,NA,Spearman correlation,0.32630625407368,NA,NA,NA,Pearson_r,4.88105663399934e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=GV_SD,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,All source-paired candidate sensitivity,Rank correlation describes agreement/association only; it does not establish interchangeability.
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_LAB_MEAN,same-patient source dependence,same-patient source agreement: mean glucose (sensitivity N=453),453 final source-paired candidates,453,NA,paired source-defined descriptive comparison,laboratory mean,155.385504047093,NA,NA,NA,POCT_mean,1.5122180915760001e+02,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,Mean-glucose source context,Means are source-defined routine-care summaries; neither source is a reference standard.
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_MEAN_DIFFERENCE,same-patient source dependence,same-patient source agreement: mean glucose (sensitivity N=453),453 final source-paired candidates,453,NA,POCT minus laboratory source-defined difference,mean paired difference,-4.16369488949348,-76.9061951549016,68.5788053759146,NA,sd_paired_difference,3.7113520543575603e+01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,Mean-glucose source context,"lower95/upper95 are 95% Bland-Altman limits of agreement, not confidence limits for the mean."
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_PAIR_MEAN_CORRELATION,same-patient source dependence,same-patient source agreement: mean glucose (sensitivity N=453),453 final source-paired candidates,453,NA,paired source-defined difference versus pair mean,Pearson correlation,-0.297878732360891,NA,NA,NA,Spearman_rho,-1.89188319579526e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,Mean-glucose source context,Scale-dependent disagreement diagnostic; not a causal model.
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_PEARSON,same-patient source dependence,same-patient source agreement: mean glucose (sensitivity N=453),453 final source-paired candidates,453,NA,paired source-defined descriptive comparison,Pearson correlation,0.805657746842837,NA,NA,NA,Spearman_rho,6.8644421654020904e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,Mean-glucose source context,Correlation describes agreement/association only; it does not establish interchangeability.
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_POCT_MEAN,same-patient source dependence,same-patient source agreement: mean glucose (sensitivity N=453),453 final source-paired candidates,453,NA,paired source-defined descriptive comparison,POCT mean,151.2218091576,NA,NA,NA,laboratory_mean,1.5538550404709301e+02,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,Mean-glucose source context,Means are source-defined routine-care summaries; neither source is a reference standard.
P2A_AGREEMENT_SENSITIVITY_MEAN_GLUCOSE_SPEARMAN,same-patient source dependence,same-patient source agreement: mean glucose (sensitivity N=453),453 final source-paired candidates,453,NA,NA,Spearman correlation,0.686444216540209,NA,NA,NA,Pearson_r,8.0565774684283697e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_agreement.csv,cohort_id=SENSITIVITY_ALL_PAIRED; variable=MEAN_GLUCOSE,local_extension_workspace/scripts/phase2a/01_same_patient_agreement.R,new_extension,Phase 2A,Supplement; source-agreement sensitivity,Mean-glucose source context,Rank correlation describes agreement/association only; it does not establish interchangeability.
P2A_BOOTSTRAP_COEFFICIENT_RATIO,same-patient source dependence,Paired source-definition coefficient-difference sensitivity analysis,identical same-patient outcome-model cohort,409,49,exponentiated paired log-HR coefficient difference,paired coefficient ratio,0.781604269286905,NA,NA,NA,POCT_HR;laboratory_HR,7.5885724504857499e-01;9.7089700615494001e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_bootstrap_summary.csv,analysis=paired source-definition coefficient-difference sensitivity analysis,local_extension_workspace/scripts/phase2a/02_same_patient_paired_bootstrap.R,new_extension,Phase 2A,Results; Figure 2,Paired source-definition coefficient-difference sensitivity analysis,Exponentiated delta-beta is a descriptive paired coefficient ratio; not a causal interaction contrast.
P2A_BOOTSTRAP_MEDIAN_DELTA_BETA,same-patient source dependence,Paired source-definition coefficient-difference sensitivity analysis,identical same-patient outcome-model cohort,409,49,bootstrap distribution of paired log-HR coefficient difference,bootstrap median delta-beta,-0.26867763106451,NA,NA,NA,bootstrap_sd,1.4768575201074099e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_bootstrap_summary.csv,analysis=paired source-definition coefficient-difference sensitivity analysis,local_extension_workspace/scripts/phase2a/02_same_patient_paired_bootstrap.R,new_extension,Phase 2A,Supplement; paired coefficient sensitivity,Distributional bootstrap summary,Bootstrap distribution summary; no new inferential interpretation.
P2A_BOOTSTRAP_OBSERVED_DELTA_BETA,same-patient source dependence,Paired source-definition coefficient-difference sensitivity analysis,identical same-patient outcome-model cohort,409,49,difference between paired source-specific log-HR coefficients,delta-beta,-0.246406716028328,-0.63228447400461,-0.0551424026573822,NA,successful_replicates;failed_replicates,2e+03;0e+00,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_same_patient_bootstrap_summary.csv,analysis=paired source-definition coefficient-difference sensitivity analysis,local_extension_workspace/scripts/phase2a/02_same_patient_paired_bootstrap.R,new_extension,Phase 2A,Results; Figure 2,Paired source-definition coefficient-difference sensitivity analysis,"Paired bootstrap B=2,000 with 2,000 successful and 0 failed replicates; not an interaction test and not causal."
P2A_SAMPLING_eICU_CRD_mean_glucose,sampling opportunity context,Descriptive GV versus mean_glucose relationship,preserved aggregate all-source feature; optional mean-glucose benchmark,7115,NA,descriptive correlation within declared final context,Pearson correlation,0.484902436947876,NA,NA,NA,Spearman_rho,3.8469799258388998e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_sampling_process.csv,database=eICU-CRD; variable_y=mean_glucose,local_extension_workspace/scripts/phase2a/03_sampling_process_dependence.R,new_extension,Phase 2A,Supplement; sampling-process context,"Descriptive relationship only; not a confounder adjustment, causal model, or proof that sampling intensity explains GV association.",Completed Phase 2A correlation.
P2A_SAMPLING_eICU_CRD_measurement_count,sampling opportunity context,Descriptive GV versus measurement_count relationship,preserved aggregate all-source feature; aggregate count,7115,NA,descriptive correlation within declared final context,Pearson correlation,0.176128524390564,NA,NA,NA,Spearman_rho,2.17561619641258e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_sampling_process.csv,database=eICU-CRD; variable_y=measurement_count,local_extension_workspace/scripts/phase2a/03_sampling_process_dependence.R,new_extension,Phase 2A,Supplement; sampling-process context,"Descriptive relationship only; not a confounder adjustment, causal model, or proof that sampling intensity explains GV association.",Completed Phase 2A correlation.
P2A_SAMPLING_eICU_CRD_measurement_span_hours,sampling opportunity context,Descriptive GV versus measurement_span_hours relationship,preserved aggregate all-source feature; aggregate span,7115,NA,descriptive correlation within declared final context,Pearson correlation,0.138798350882519,NA,NA,NA,Spearman_rho,1.5067690908186401e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_sampling_process.csv,database=eICU-CRD; variable_y=measurement_span_hours,local_extension_workspace/scripts/phase2a/03_sampling_process_dependence.R,new_extension,Phase 2A,Supplement; sampling-process context,"Descriptive relationship only; not a confounder adjustment, causal model, or proof that sampling intensity explains GV association.",Completed Phase 2A correlation.
P2A_SAMPLING_INSPIRE_NA,sampling opportunity context,Descriptive GV versus NA relationship,final validated count/span fields retained for context table,1353,NA,descriptive correlation within declared final context,Pearson correlation,NA,NA,NA,NA,Spearman_rho,NA,NOT_RUN,local_extension_workspace/outputs/machine_readable/phase2a_sampling_process.csv,database=INSPIRE; variable_y=NA,local_extension_workspace/scripts/phase2a/03_sampling_process_dependence.R,new_extension,Phase 2A,Supplement; declared non-estimable context,"Descriptive relationship only; not a confounder adjustment, causal model, or proof that sampling intensity explains GV association.",No new INSPIRE sampling-process analysis added in Phase 2A; no unsupported extrapolation
P2A_SAMPLING_MIMIC_IV_mean_glucose,sampling opportunity context,Descriptive GV versus mean_glucose relationship,final source-priority series; optional mean-glucose benchmark,10561,NA,descriptive correlation within declared final context,Pearson correlation,0.547565193381572,NA,NA,NA,Spearman_rho,5.3215327594372797e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_sampling_process.csv,database=MIMIC-IV; variable_y=mean_glucose,local_extension_workspace/scripts/phase2a/03_sampling_process_dependence.R,new_extension,Phase 2A,Supplement; sampling-process context,"Descriptive relationship only; not a confounder adjustment, causal model, or proof that sampling intensity explains GV association.",Completed Phase 2A correlation.
P2A_SAMPLING_MIMIC_IV_measurement_count,sampling opportunity context,Descriptive GV versus measurement_count relationship,final source-priority series; patient-level count,10561,NA,descriptive correlation within declared final context,Pearson correlation,0.150756603905342,NA,NA,NA,Spearman_rho,1.7558167954572901e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_sampling_process.csv,database=MIMIC-IV; variable_y=measurement_count,local_extension_workspace/scripts/phase2a/03_sampling_process_dependence.R,new_extension,Phase 2A,Supplement; sampling-process context,"Descriptive relationship only; not a confounder adjustment, causal model, or proof that sampling intensity explains GV association.",Completed Phase 2A correlation.
P2A_SAMPLING_MIMIC_IV_measurement_span_hours,sampling opportunity context,Descriptive GV versus measurement_span_hours relationship,final source-priority series; patient-level span,10561,NA,descriptive correlation within declared final context,Pearson correlation,0.124823193353568,NA,NA,NA,Spearman_rho,1.3764203308748599e-01,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_sampling_process.csv,database=MIMIC-IV; variable_y=measurement_span_hours,local_extension_workspace/scripts/phase2a/03_sampling_process_dependence.R,new_extension,Phase 2A,Supplement; sampling-process context,"Descriptive relationship only; not a confounder adjustment, causal model, or proof that sampling intensity explains GV association.",Completed Phase 2A correlation.
P2A_SHIFT_eICU_CRD_M3_M4_AFTER,analytic-context landscape,eICU-CRD M3 -> M4 after,declared final context,7115,130,eICU-CRD declared outcome context,RR,1.13279595096984,0.990175899305203,1.29595829128348,NA,effect_before,1.1577479008314799e+00,LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,specification=eICU M4,local_extension_workspace/scripts/phase2a/04_model_specification_shift.R,new_extension,Phase 2A,Supplement; analytic-context movement,After-context coefficient,Locked specification movement; not a causal attenuation or confounding estimate. Before-context CI and movement are in the paired registry row.
P2A_SHIFT_eICU_CRD_M3_M4_BEFORE,analytic-context landscape,eICU-CRD M3 -> M4 before,declared final context,7115,130,eICU-CRD declared outcome context,RR,1.15774790083148,1.0245783161834,1.30822620458402,NA,effect_after,1.13279595096984e+00,LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,specification=eICU M3,local_extension_workspace/scripts/phase2a/04_model_specification_shift.R,new_extension,Phase 2A,Supplement; analytic-context movement,Before-context coefficient,Locked specification movement; not a causal attenuation or confounding estimate. After-context CI and movement are in the paired registry row.
P2A_SHIFT_eICU_CRD_M3_M4_DELTA_LOG,analytic-context landscape,eICU-CRD M3 -> M4 coefficient movement,declared final context,7115,130,eICU-CRD declared outcome context,RR log movement,-0.0217877836369602,NA,NA,NA,null_crossing,FALSE,EXTENSION_RESULT_LOCKED,local_extension_workspace/outputs/machine_readable/phase2a_specification_shift.csv,database=eICU-CRD; comparison=M3 -> M4,local_extension_workspace/scripts/phase2a/04_model_specification_shift.R,new_extension,Phase 2A,Supplement; analytic-context movement,Coefficient movement diagnostic,Locked specification movement; not a causal attenuation or confounding estimate. The null-crossing flag is a descriptive interval property.
